region_id,min_id,saddle1_id,saddle2_id,max_id,mu_min,mu_saddle1,mu_saddle2,mu_max,nu_unnorm,nu
38,44,42,52,53,0.0304824113503343,0.0331730556749971,0.0319273221495858,0.0141960500454603,0.1097788392203775,0.03828164164227753
39,46,39,45,31,0.0324999431997331,0.0021046558183565,0.0150272711696638,0.019042254212428,0.06867412440018139,0.023947768432014314
40,46,45,50,49,0.0324999431997331,0.0150272711696638,0.0158223904240887,0.015163290883171,0.0785128956766566,0.027378705750000128
41,56,55,63,54,0.0331730556749971,0.0070263062744595,0.0240301215600057,0.0177104339218176,0.0819399174312799,0.028573763191329184
42,56,55,60,53,0.0331730556749971,0.0070263062744595,0.0022812454888459,0.0141960500454603,0.0566766574837628,0.019764059327681178
43,58,51,57,49,0.0243836047029631,0.015163290883171,0.0243836047029631,0.015163290883171,0.0790937911722682,0.02758127332452125
44,58,51,63,54,0.0243836047029631,0.015163290883171,0.0240301215600057,0.0177104339218176,0.0812874510679574,0.028346237707531613
45,59,52,64,53,0.0319273221495858,0.0319273221495858,0.0138087091411262,0.0141960500454603,0.0918594034857581,0.032032847046741426
46,61,50,57,49,0.0070193746861126,0.0158223904240887,0.0243836047029631,0.015163290883171,0.0623886606963354,0.021755926445207168
47,62,60,64,53,0.0022812454888459,0.0022812454888459,0.0138087091411262,0.0141960500454603,0.032567250164278305,0.011356722378531805
