clean_idx,noisy_idx,weight,cost,clean_type,noisy_type,clean_scalar,noisy_scalar
39,50,0.00251177394034538,0.009027000000000007,sad,sad,-0.256927,-0.2479
39,9,0.0025117739403453573,0.13083099999999998,sad,sad,-0.256927,-0.387758
35,18,0.0021978021978022073,0.006618999999999986,sad,sad,-0.22279,-0.216171
36,39,0.002197802197802185,0.3218019999999999,sad,sad,-0.284911,-0.606713
47,52,0.0015698587127158624,0.003813000000000011,sad,sad,-0.202512,-0.198699
28,6,0.0015698587127158398,0.04626299999999994,min,sad,-0.619051,-0.665314
27,48,0.00125588697017269,0.1856548,sad,sad,-0.102943,0.0827118
17,38,0.0012558869701726674,0.056659000000000015,min,min,-0.667002,-0.723661
18,14,0.0009419152276295174,0.2140999,sad,sad,-0.0712759,0.142824
43,59,0.0009419152276294949,0.069442,min,min,-0.770811,-0.840253
2,58,0.0003139717425431725,0.008396999999999988,min,min,-0.785426,-0.793823
8,17,0.0003139717425431725,0.06704199999999999,max,max,0.287211,0.354253
8,35,0.0003139717425431725,0.16500599999999999,max,max,0.287211,0.452217
46,19,0.0003139717425431725,0.03525699999999998,sad,sad,-0.275822,-0.311079
2,0,0.0003139717425431499,0.15943000000000007,min,min,-0.785426,-0.944856
