Cell ID,Cell Type,DestinationId,NumberOfCriticalPointsOnBoundary,SeparatrixFunctionDifference,SeparatrixFunctionMaximum,SeparatrixFunctionMinimum,SeparatrixId,SeparatrixType,SourceId
275,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
276,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
277,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
278,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
279,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
280,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
281,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
282,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
283,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
284,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
285,3,3200,2,0.432158,-0.318979,-0.751138,7,0,4571
286,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
287,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
288,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
289,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
290,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
291,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
292,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
293,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
294,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
295,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
296,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
297,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
298,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
299,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
300,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
301,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
302,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
303,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
304,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
305,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
306,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
307,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
308,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
309,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
310,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
311,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
312,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
313,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
314,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
315,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
316,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
317,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
318,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
319,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
320,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
321,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
322,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
323,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
324,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
325,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
326,3,33,1,0.585689,-0.204306,-0.789995,8,0,4962
327,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
328,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
329,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
330,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
331,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
332,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
333,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
334,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
335,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
336,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
337,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
338,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
339,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
340,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
341,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
342,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
343,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
344,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
345,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
346,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
347,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
348,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
349,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
350,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
351,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
352,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
353,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
354,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
355,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
356,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
357,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
358,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
359,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
360,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
361,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
362,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
363,3,3333,0,0.443543,-0.204306,-0.647849,9,0,4962
364,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
365,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
366,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
367,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
368,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
369,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
370,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
371,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
372,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
373,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
374,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
375,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
376,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
377,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
378,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
379,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
380,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
381,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
382,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
383,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
384,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
385,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
386,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
387,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
388,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
389,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
390,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
391,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
392,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
393,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
394,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
395,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
396,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
397,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
398,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
399,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
400,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
401,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
402,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
403,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
404,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
405,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
406,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
407,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
408,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
409,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
410,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
411,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
412,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
413,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
414,3,70,1,0.60065,-0.184776,-0.785426,10,0,5662
415,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
416,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
417,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
418,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
419,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
420,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
421,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
422,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
423,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
424,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
425,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
426,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
427,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
428,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
429,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
430,3,3266,0,0.482227,-0.184776,-0.667002,11,0,5662
