,Noisy_Region_1,Noisy_Region_2,Noisy_Region_3,Noisy_Region_4,Noisy_Region_5,Noisy_Region_6,Noisy_Region_7,Noisy_Region_8,Noisy_Region_9,Noisy_Region_10,Noisy_Region_11,Noisy_Region_12,Noisy_Region_13,Noisy_Region_14,Noisy_Region_15,Noisy_Region_16,Noisy_Region_17,Noisy_Region_18,Noisy_Region_19,Noisy_Region_20,Noisy_Region_21,Noisy_Region_22,Noisy_Region_23,Noisy_Region_24,Noisy_Region_25,Noisy_Region_26,Noisy_Region_27,Noisy_Region_28,Noisy_Region_29,Noisy_Region_30,Noisy_Region_31,Noisy_Region_32,Noisy_Region_33,Noisy_Region_34,Noisy_Region_35,Noisy_Region_36,Noisy_Region_37,Noisy_Region_38,Noisy_Region_39,Noisy_Region_40,Noisy_Region_41,Noisy_Region_42,Noisy_Region_43,Noisy_Region_44,Noisy_Region_45,Noisy_Region_46,Noisy_Region_47
Clean_Region_11,6.997140545937457e-36,6.550264196322524e-22,2.157078710397951e-21,1.2488428331884926e-19,4.320394342609669e-14,4.3922805834660864e-17,1.944118919074405e-12,5.498784078117633e-26,3.521885179123503e-21,1.4364396569371147e-24,1.7665667965220012e-21,2.0203131761197257e-07,4.863944938431415e-05,0.0123991478908038,0.001023123952213428,6.310353469642089e-19,2.9709742045714754e-17,1.0029567269026401e-07,2.1513962346034245e-12,7.635579048329519e-06,1.4811954809768936e-10,3.3586069939217856e-09,3.6945693561560244e-12,0.005927332676448535,0.0028404357534554453,6.181378187400278e-31,0.0003777713131758557,7.929551972612114e-07,6.45986323733551e-09,1.1051802175032918e-13,4.224403532304388e-13,1.293806144599281e-13,7.833684769415692e-07,1.4537456705204478e-09,1.8396446197746225e-18,4.552370967821192e-15,1.3151325524357337e-11,9.548468929147829e-17,9.613300863071997e-29,8.953926703743721e-24,1.1388183416494623e-20,5.925365314119567e-25,1.9517815518830792e-25,2.5819988775730297e-22,1.602807702291648e-27,8.413897615603794e-34,7.36666097976659e-29
Clean_Region_12,3.1148162070681587e-45,1.6460862856617438e-18,1.4471370613601996e-29,2.937439330190594e-27,4.932348801330145e-18,5.811910459259296e-15,1.0909349401043528e-12,1.6292927657073095e-17,4.1790697390578197e-13,2.3548521456692778e-34,6.0404370718642525e-31,2.6613335893035765e-05,5.141151843493631e-07,9.3110157711655e-05,0.015230903231812976,2.4426548501470997e-27,1.001089856661322e-24,4.958040731802769e-13,8.353591974293792e-21,7.166955592927968e-12,4.1962069902335916e-05,0.0029431067676118174,6.576643533082745e-05,0.0011204648845190034,0.004839908618487351,3.4021328643326267e-40,4.932266599509768e-06,5.456525816021792e-05,3.2215929712290943e-12,1.4366329065914639e-15,5.085755415390804e-10,1.425775645904251e-21,1.0395969731059414e-12,7.98309247854237e-14,1.3458621501095634e-25,5.676618730705919e-19,5.081745989433885e-06,5.484939181496152e-11,1.7524429725869039e-37,2.766613325981821e-31,4.8530325046051966e-20,2.0273846158021804e-21,9.349603308950795e-31,1.4088994635124537e-25,7.632409891015583e-20,3.922958642095222e-40,1.899039569046018e-24
Clean_Region_13,9.664816194359517e-10,2.030103332857935e-21,0.0026875288668327117,0.003205429428739723,5.739255464351447e-07,7.605789906664995e-18,7.354736854649706e-13,3.148030059492545e-34,8.997235354295904e-32,0.00019897501885453062,0.00012453880587915393,1.76281552952411e-16,2.438372375184891e-09,1.2294123191974707e-10,3.9649664057366453e-16,0.012849310646806233,0.00578261479656889,7.501288977447345e-05,0.0002882076176788025,4.9717974525659375e-06,1.795294231786637e-24,7.723669621058229e-27,2.573886775207381e-33,1.9440066833890612e-15,2.7216264456660945e-17,7.470850995403201e-13,2.0856741709463797e-15,8.940000233144732e-25,3.4004673651253234e-16,3.0923188024152306e-24,2.9606650378063602e-33,1.1187565077318934e-09,5.759793390621258e-10,1.1347388605042405e-15,4.527314489512052e-16,2.9889498700654133e-21,1.2328100978879629e-33,3.154505064182255e-39,1.2601364606241162e-13,1.0939136112191967e-16,6.334936967891502e-34,3.0817542017143456e-41,2.299060238757327e-24,1.1827009797827987e-27,1.462627782477231e-49,2.06897795695078e-26,4.405293627065001e-45
Clean_Region_14,1.9615549766649236e-19,6.282953633121244e-16,1.5252442566795576e-08,1.496815736575151e-07,1.416017906569353e-05,5.473163249429593e-12,1.7237047808550802e-07,3.3286680262494125e-25,5.15761878873106e-22,5.894259632560658e-12,2.201464259695615e-11,1.2184235431553473e-07,0.0032437809366590016,0.0006997864049582996,4.305840384073692e-07,3.6047522403891857e-07,3.406958741067407e-06,0.01924975044091095,1.3848198103904897e-06,0.0013807122908122717,1.2736172727203094e-13,2.7687754183603077e-15,4.045849153428067e-21,1.7948622966297426e-07,1.2956023733374562e-08,2.796204702659929e-22,5.2478068319507665e-09,2.460538573269734e-15,1.0466659387849614e-12,3.479959749250295e-20,6.953038006610242e-24,2.3369255471183986e-11,1.2331739943975763e-07,7.979129036268169e-13,3.9371896518107036e-18,2.4836793992492233e-19,2.8986481327036615e-22,1.523489454381098e-28,9.6044538597735e-22,3.2411283128127236e-21,2.4009439453472158e-29,3.265422102958495e-35,1.0218020975504187e-26,5.4028752418273375e-27,1.3237343646982736e-39,6.627361684442412e-32,2.8460440291072887e-39
Clean_Region_15,2.1466574831018147e-26,3.46621737185661e-25,2.1589091112668225e-14,2.853064724118483e-13,5.822758768833959e-12,5.609408519670668e-20,5.943215698363814e-14,3.1815013161657854e-33,1.83509817144552e-28,1.808724664814271e-15,1.5348691708985092e-12,1.4547589051218571e-11,6.604290947862097e-06,0.0012395647621393192,2.554880270454497e-07,5.655352980647835e-12,1.6290947901625356e-11,2.8700053395661485e-05,1.2491063144198755e-05,0.017783457809994657,3.51650860159095e-17,1.9909278915377521e-16,3.220201890167004e-20,4.804653293461274e-05,3.3001188523049553e-06,3.7109067732821327e-20,0.00013933323289491497,6.016274728680268e-11,7.27746090553651e-07,1.1112342236457227e-12,1.8350805864020902e-17,9.708195334387994e-07,0.003044778998097949,9.432653398015474e-07,1.5077812481243614e-11,1.2211963761415341e-11,2.3485903769816042e-18,2.8770285024584265e-23,1.1952978012479318e-18,2.050630580641778e-15,6.345544035172714e-21,1.3878637780328438e-27,4.827164573620186e-19,1.6996326412275666e-18,8.728751048100863e-35,2.3774952859166136e-25,6.644255836483615e-32
Clean_Region_16,3.113711457018635e-16,1.2440518569967542e-29,2.0659131386431957e-08,3.36130297747988e-08,3.0146320563109733e-12,1.2584644174738327e-24,5.2015722210379165e-18,1.0695456250027662e-40,1.5364835719895645e-36,2.111222856869056e-07,2.6014446056732012e-05,1.2093113915056027e-18,1.8174687193779682e-10,1.3043988171670047e-08,2.0765341844995154e-14,1.0880891267017235e-06,2.0823697634456462e-07,2.660393434196203e-06,0.02411945395716395,0.0012939093374905054,5.683771756448033e-26,1.090527993502839e-25,6.731857937828898e-30,5.3383035310338515e-11,8.606674363241268e-13,1.1252890230944746e-10,4.138093614772344e-09,4.986440607943079e-18,1.0842445902020602e-08,8.05549977591237e-15,2.2612232133597115e-24,0.0003523318175456306,0.0003672765044713366,5.7057522779410813e-08,1.5445904111143647e-08,4.427411927988822e-12,3.838382967620299e-27,3.298605869889843e-31,1.9616298693060435e-10,2.4962582201833934e-10,1.5798703595448632e-23,2.2010771037431167e-31,1.2392585307067904e-15,1.0320441448699406e-17,6.971978413272363e-42,2.616524002837734e-19,1.9946435673113916e-35
Clean_Region_17,1.048847239478809e-46,6.790544966791336e-09,8.354657215558317e-33,2.4786596873429067e-30,2.2774448536686424e-18,1.4457097327135196e-08,1.648876004438074e-10,3.1544357887810744e-05,0.002807291547042707,1.2160969905097125e-40,2.827463759265392e-39,5.805380214431285e-05,3.4616948939463235e-11,1.4092200399732926e-12,2.3635374777999144e-07,3.942201380638173e-32,1.274490856748926e-28,3.359120920109314e-19,6.109490408571416e-32,1.7188011924941414e-22,0.024399192159491444,0.004829629033479723,7.962437516754714e-06,8.011820677620986e-13,1.8390867663619327e-11,1.197013241124591e-49,1.7507098054834088e-17,3.2549845569383715e-14,3.516410748594364e-25,4.12192608918596e-29,9.2057282647632e-20,1.3897249213949018e-35,2.187222684549369e-26,9.335202863482943e-28,2.0090657709491624e-40,1.8729098438835164e-33,1.8851909222981464e-11,2.9026215222846104e-17,9.751145700063482e-48,3.077969856300914e-44,6.6324104052536e-32,5.228320689563388e-30,1.271153389074448e-44,1.1818857071151487e-39,3.5385115559780574e-23,4.795427326090912e-52,1.1162189792801265e-31
Clean_Region_18,7.675802201041984e-53,4.382004947772076e-17,6.002624222331382e-38,2.0332349227016646e-35,7.801729359996034e-24,2.6302400633954872e-15,7.552002817160587e-16,8.678816800564969e-12,1.7917108757396098e-08,4.1194364499713267e-44,4.3739359158749884e-41,1.0656115912626316e-07,3.0302962197121645e-13,8.384849900949866e-12,8.154913075025433e-07,1.4804176380809914e-36,3.496715962130969e-33,1.745976368189659e-21,5.645558317519536e-32,5.41647868344248e-22,0.0002120713966223388,0.023505742901646042,0.0062228392074114135,5.839162385796827e-10,2.017545294881844e-08,1.5831571749357515e-49,2.1769352858222135e-13,1.0459761910669281e-08,1.8182322033852523e-20,4.056316940111072e-22,1.6424243402235615e-12,5.089164006897067e-33,4.8653819378305094e-23,7.313561136133532e-23,3.891425418968886e-36,1.8987699023158143e-27,5.458056872509328e-06,2.914377788630905e-10,6.178655718670859e-47,3.584213144219265e-41,4.37571154575217e-24,3.4834965075934294e-22,2.4362533205718073e-39,6.33772128560989e-33,4.3524834858922223e-16,2.270323900521403e-48,8.33524154902864e-24
Clean_Region_19,6.085970985478491e-45,6.615866265596942e-32,3.42221205823483e-30,2.044240731211547e-28,3.6278364492078907e-23,1.909905300236912e-26,3.819349635902769e-21,4.639510038874414e-33,3.364890208357695e-27,1.7886733907941473e-31,1.4752713897266403e-26,1.734654957140852e-13,4.3750803517087515e-11,7.101455517487684e-06,1.738133419886906e-06,3.5552422198926916e-27,7.342754405530456e-26,3.2857999720867045e-14,6.06414567922711e-16,3.434855631879581e-09,4.081645389403379e-15,3.8211406141890084e-11,4.5944786492081076e-11,0.0034535181977538394,0.0032174226840598697,8.532416269244505e-32,0.012174385270364466,0.0007563431115109173,1.3694532206480646e-05,9.714354998742819e-08,4.6306809742378563e-07,3.010699615350861e-13,2.1996920299610322e-06,3.0321282465251985e-06,3.1794480853190315e-15,1.1899466199544284e-09,7.677314763544678e-08,7.6495665066494e-11,8.548575634884512e-29,3.2898341346540444e-21,1.774644399940434e-12,2.716693971482753e-16,1.1699221599367513e-19,3.664300366313098e-15,1.4373344130872806e-20,2.889114541619092e-29,8.184040869036227e-20
Clean_Region_20,3.0905084910916073e-52,3.612018427642267e-29,7.039547502365418e-37,1.066322959054373e-34,1.4410283932493035e-26,9.541538171959574e-25,1.4870284265308805e-21,3.37550341449092e-26,6.892499251861234e-21,1.0480348072691321e-39,5.884976766434782e-35,2.8576285896960985e-12,2.907506685046321e-13,3.03698401269034e-08,2.561250253972963e-06,2.609975951343575e-34,5.258125957472726e-32,5.196432432768297e-19,5.213420241870653e-24,2.5557413329723543e-15,4.4798656281496816e-11,2.050071703043336e-06,3.904540418214177e-05,0.00014925548280633492,0.001172343676364231,1.7279444642264848e-40,2.7172570337413727e-05,0.01740887056847883,6.714474729508363e-10,2.802266244416702e-10,8.400633063580035e-05,1.720807902461957e-21,1.6910756541789037e-12,2.8602844022935867e-11,8.130957817896532e-23,1.4036349039043549e-14,0.0029767960088905045,1.1394032736150777e-05,2.662951071976621e-37,3.541340250006701e-29,5.169827643662396e-13,9.187148799288083e-14,6.293710730119674e-26,1.4917099184132768e-19,3.839477530680209e-13,2.566105857941034e-36,3.3513113636011086e-16
