,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29,Region_30,Region_31,Region_32,Region_33,Region_34,Region_35,Region_36,Region_37,Region_38,Region_39,Region_40,Region_41,Region_42,Region_43,Region_44,Region_45,Region_46,Region_47
CP_16,112.57094995335773,48.69540770779503,88.32602494803085,85.0766133485881,59.13883967912466,42.711287509601526,40.83270644117803,44.75725304586811,41.5963455940198,103.4252221039552,101.33093111633713,20.663240482618004,38.23477966086607,53.04898766197573,38.837008985313986,83.49573542448191,78.46649155576958,56.33071026893747,82.72040605368353,63.663626652678914,28.077914985506712,40.7530966994351,52.586523956613064,55.37121855141232,52.84695903366226,126.99250238634738,66.293672401509,67.21485825801153,84.08825855658306,99.21827019526427,81.89441675947826,90.67165181302971,80.16645347323461,88.45894654611202,103.87080508542542,99.03298788063118,66.15244387232329,82.27222714226347,121.76740259672302,112.40820224730999,106.89221864059287,109.22640339001158,120.87458995279933,113.44060141687049,97.77242977058192,127.18411698404533,115.66860951133671
CP_17,83.6147574503686,58.628045746332845,59.369832445041716,56.12042084559895,34.00118434361875,49.78938287351448,36.37158434612552,83.05311066469976,77.6210039558824,74.46902960096607,75.76446909258911,41.8927193551321,30.372761357066235,37.166298762817334,51.37827743947908,54.539542921492774,49.51029905278044,27.37451776594833,57.15394402993551,38.09716462893089,57.38652459949368,68.01173166471636,79.84515892189432,48.94752232057935,52.893255148180266,101.42604036259937,59.869976170676026,67.10664411491511,72.89405954555886,82.77210138232729,81.78620261638184,65.1051897892817,54.599991449486595,68.5233715560299,78.3043430616774,80.48514389973539,83.05037176433007,90.57313212719043,96.200940572975,86.84174022356197,102.04581941806947,109.11818924691516,95.30812792905131,94.8927574359747,106.07333475550888,101.61765496029732,115.5603953682403
CP_18,51.45843680342115,54.461141844047184,27.21351179809427,23.87680740405494,13.898547205893237,45.622478971228816,32.20468044383986,78.8862067624141,82.84310790980973,42.312708954018625,54.34171690838083,47.11482330905943,29.54328413081137,36.41084399496022,50.62282267162196,22.38322227454533,17.353978405832994,11.447353522739963,48.14659112926375,29.08981172825913,62.60862855342101,71.20358585861169,83.03701311578965,48.192067552722236,52.13780038032315,82.1987689425064,59.11452140281891,66.351189347058,63.886706644887084,73.76474848165553,81.03074784852473,56.097836888609926,45.59263854881483,59.51601865535813,69.29699016100562,71.47779099906363,82.29491699647295,89.81767735933332,87.19358767230322,77.8343873228902,93.03846651739772,108.36273447905805,86.30077502837953,85.88540453530294,105.31787998765176,92.61030205962554,114.80494060038318
CP_19,118.90833347845353,47.06618097330386,94.66340847312665,91.4139968736839,69.34702099931646,53.27630373906779,51.04088776136983,22.641116054936937,14.753939675768246,109.76260562905101,103.94830584833605,27.00062400771381,44.57216318596187,48.788959954547124,34.57698127788538,89.83311894957771,84.80387508086538,62.668093794033275,85.33778078568245,66.28100138467784,11.50681876335223,26.60047394819064,38.433901205368606,51.111190843983714,48.58693132623365,129.6098771183463,62.033644694080394,62.95483055058292,79.82823084915445,94.51091520353162,72.95312619467789,93.28902654502863,78.76349413622214,84.19891883868341,106.48817981742434,94.77296017320258,51.999821121078824,68.11960439101901,124.38477732872194,115.02557697930891,97.9509280757925,100.28511282521121,117.35829073476015,109.18057370944189,83.61980701933746,129.80149171604427,106.72731894653634
CP_20,102.49115859655214,45.697791729984765,78.24623359122526,74.99682199178251,52.92984611741507,36.8591288571664,34.62371287946844,37.145923286139436,29.258746906970746,89.68203353905197,83.4172195344018,10.583449125812418,28.15498830406048,28.257873640612864,14.045894963951119,73.41594406767632,68.386700198964,46.25091891213189,64.8066944717482,45.74991507074358,9.024267550582032,15.535563183771835,27.3689904409498,30.58010453004945,28.055845012299386,109.07879080441205,41.50255838014613,42.42374423664865,59.297144535220184,74.4271561739014,57.10330273811538,72.75794023109438,58.23240782228787,63.66783252474914,85.95709350349009,74.24187385926831,40.934910356660026,57.05469362660021,103.85369101478769,94.49449066537466,82.10110461923,84.43528936864871,96.82720442082586,88.64948739550762,72.55489625491866,109.27040540211,90.87749548997384
CP_21,39.4874455206129,126.49296721800934,55.76957992836239,56.09440999180273,85.93037257985539,117.65430434519097,104.23650581780201,149.54104365927492,141.65386728010623,29.71911641994352,29.162628756803972,109.64559147245285,92.07405229420479,84.13724673252264,98.34922540918438,49.64860309941682,54.67784696812915,76.81362825496126,47.58842590138732,66.64520530239193,121.41938792371752,118.92998859617411,130.7634158533521,95.91847029028466,99.86420311788557,50.42475596768754,90.74625836018392,109.49099669396973,92.31047701411444,102.18851885088287,123.7463078597366,69.00393552635123,74.01640891804217,87.93978902458548,82.20308879874693,99.90156136829097,125.43472434338469,132.95748470624505,55.64985575731191,80.00925470183434,121.46223688662505,136.97940401203346,99.20687366612084,107.17890705988191,148.4576873345635,94.78516943856968,143.4216101333586
CP_22,29.486387656916833,94.77832328770927,24.05493599806233,24.37976606150267,54.215728649555324,85.9396604148909,72.52186188750194,114.95668345422708,107.06950707505838,11.871273370964346,14.024535464718742,75.06123126740496,57.4896920891569,49.55288652747477,63.76486520413651,17.933959169116758,22.963203037829093,45.0989843246612,13.004065696339431,32.06084509734405,86.83502771866966,84.34562839112624,96.1790556483042,61.33411008523679,65.2798429128377,41.88158749884432,56.161898155136015,74.90663648892183,57.72611680906653,67.60415864583497,89.1619476546887,34.41957532130334,39.43204871299428,53.35542881953758,47.61872859369904,65.31720116324307,90.85036413833677,98.37312450119717,47.10668728846869,56.156125755583616,86.87787668157716,102.39504380698554,64.62251346107294,72.59454685483402,113.87332712951562,70.93204049231896,108.83724992831067
CP_23,103.24465442862817,61.45159487701941,78.99972942330129,75.75031782385854,64.94204132347983,52.61293200420104,48.213178830852605,70.49978797213348,62.61261159296478,94.09892657922565,88.41207682318056,34.02337262029848,28.9084841361365,33.67567678612896,28.83008955765006,74.16943989975235,69.14019603104002,47.00441474420791,69.80155176052696,50.74477235952235,42.378132236576064,48.88942786976587,60.722855126943834,41.05462935939329,42.84003960599833,114.07364809319083,51.97708320948996,57.207938830347594,69.77166936456402,84.90168100324523,71.88749733181433,77.75279751987316,67.24759918007805,74.14235735409298,90.95195079226886,84.71639868861213,73.15166647976254,80.67442684262292,108.84854830356646,99.48934795415343,96.88529921292894,99.21948396234765,107.3017292501697,99.12401222485144,96.17462947094137,114.26526269088878,105.66169008367278
CP_24,69.02780063163958,53.88320769562178,44.782875626312695,41.53346402686993,30.725187526491233,45.04454482280341,31.626746295414456,73.50905175886541,65.62187537969672,57.03891385942289,50.774099854772714,29.893590778946418,12.322051600698353,12.175929525000939,26.387908201662686,39.95258610276375,34.92334223405142,12.787560947219312,32.163574792119114,13.106795391114495,45.387396023308,46.96867138865241,58.80209864583038,23.957153082762957,27.90288591036387,76.43567112478296,34.87960693285963,42.11627487709871,47.90369030774245,57.78173214451089,56.79583337856544,40.11482055146529,29.6096222116702,43.5330023182135,53.31397382386099,55.49477466191899,58.06000252651366,65.58276288937404,71.21057133515859,61.85137098574557,77.05545018025308,84.12782000909877,70.3177586912349,69.90238819815829,81.08296551769249,76.62728572248092,90.5700261304239
CP_25,61.259091210478346,81.48186327575584,50.58450020715345,48.83319519546619,40.9192686376019,72.64320040293748,59.22540187554853,105.90692819412276,100.50806435447244,43.64397692452586,45.79723901828025,64.77977975372214,47.20824057547407,48.47095850309104,62.682937179752784,44.463523378207874,42.22307340264768,29.112309967402666,27.504346986377122,34.56744553761062,80.27358499808372,83.26370036674251,95.09712762392047,60.25218206085306,64.19791488845397,73.65429105240582,61.718879166039926,78.41130385518882,63.283097819970436,73.16113965673888,93.09086235665555,48.350299029793604,44.989029723898184,58.91240983044148,61.5494523021893,70.87418217414698,94.35503150460377,101.87779186746414,78.87939084203019,70.08684946407388,92.43485769248107,107.95202481788945,78.5532371695632,85.28179571038629,117.37799449578259,84.86276420080922,114.39423093921458
